"stage","row_type","outcome","guild","species","estimate","standard_error","conf_low","conf_high","ratio_spawn_start_vs_early_egg","q_between","df_between","p_guild_differences","q_residual","df_residual","p_residual_heterogeneity","residual_i2_percent","variance_method","parent_estimate","parent_standard_error","parent_p_guild_differences","changed_direction","parent_interval_excludes_zero","s1_interval_excludes_zero","changed_interval_significance","changed_omnibus_significance"
"s1_anchor","guild_mean","checklist_reporting","alcid_piscivore",4,-0.0245036597529924,0.0593184368273949,-0.140765659553901,0.091758340047916,0.97579411774643,10.0058736138875,6,0.124404886690671,70.7968303449804,41,0.00263142212605705,42.0878028010375,"full_fixed_effect_covariance",-0.0613314740059745,0.0598846369371228,0.0204858376038193,FALSE,FALSE,FALSE,FALSE,TRUE
"s1_anchor","guild_mean","checklist_reporting","gull_roe",8,0.0392974282943328,0.0225399949425549,-0.00488015000478972,0.0834750065934553,1.04007978680708,10.0058736138875,6,0.124404886690671,70.7968303449804,41,0.00263142212605705,42.0878028010375,"full_fixed_effect_covariance",0.0519581960656213,0.0230115109392313,0.0204858376038193,FALSE,TRUE,FALSE,TRUE,TRUE
"s1_anchor","guild_mean","checklist_reporting","intertidal_roe_shorebird",5,-0.0609580961026586,0.0382802923508409,-0.135986090427971,0.0140698982226537,0.94086266476249,10.0058736138875,6,0.124404886690671,70.7968303449804,41,0.00263142212605705,42.0878028010375,"full_fixed_effect_covariance",-0.0619786835974781,0.0394256219776168,0.0204858376038193,FALSE,FALSE,FALSE,FALSE,TRUE
"s1_anchor","guild_mean","checklist_reporting","piscivore_active_spawn",12,-4.80163452079463e-05,0.0182210297621382,-0.0357605784402313,0.0356645457498155,0.999951984807558,10.0058736138875,6,0.124404886690671,70.7968303449804,41,0.00263142212605705,42.0878028010375,"full_fixed_effect_covariance",-0.00115491712269135,0.0184759773807706,0.0204858376038193,FALSE,FALSE,FALSE,FALSE,TRUE
"s1_anchor","guild_mean","checklist_reporting","roe_diving_seaduck",10,0.0200235564695476,0.0193199527081917,-0.0178428550215252,0.0578899679606205,1.02022537265162,10.0058736138875,6,0.124404886690671,70.7968303449804,41,0.00263142212605705,42.0878028010375,"full_fixed_effect_covariance",0.0161171542363446,0.0196679361912203,0.0204858376038193,FALSE,FALSE,FALSE,FALSE,TRUE
"s1_anchor","guild_mean","checklist_reporting","shoreline_scavenger",4,0.0460629405601517,0.0190961629145399,0.00863514900474414,0.0834907321155593,1.04714031648093,10.0058736138875,6,0.124404886690671,70.7968303449804,41,0.00263142212605705,42.0878028010375,"full_fixed_effect_covariance",0.0634683129747177,0.019292489593683,0.0204858376038193,FALSE,TRUE,TRUE,FALSE,TRUE
"s1_anchor","guild_mean","checklist_reporting","surface_vegetation_roe",5,-0.0077097990771948,0.0219167388045647,-0.0506658177927131,0.0352462196383235,0.992319845191005,10.0058736138875,6,0.124404886690671,70.7968303449804,41,0.00263142212605705,42.0878028010375,"full_fixed_effect_covariance",0.00517173135031211,0.02217122715272,0.0204858376038193,TRUE,FALSE,FALSE,FALSE,TRUE
"s1_anchor","guild_mean","conditional_positive_numeric_count","alcid_piscivore",3,-0.0526878823758417,0.0462798808861357,-0.143394782121471,0.038019017369788,0.948676064797763,105.696076483867,6,1.62124309492697e-20,147.071036411234,39,1.88189136042156e-14,73.4822022393656,"full_fixed_effect_covariance",-0.0639679896676248,0.0442544717447764,5.89578097637058e-23,FALSE,FALSE,FALSE,FALSE,FALSE
"s1_anchor","guild_mean","conditional_positive_numeric_count","gull_roe",8,0.0138824676405662,0.0149172713383038,-0.0153548469301209,0.0431197822112533,1.01397927655795,105.696076483867,6,1.62124309492697e-20,147.071036411234,39,1.88189136042156e-14,73.4822022393656,"full_fixed_effect_covariance",0.00872899234966189,0.0151517718979342,5.89578097637058e-23,FALSE,FALSE,FALSE,FALSE,FALSE
"s1_anchor","guild_mean","conditional_positive_numeric_count","intertidal_roe_shorebird",4,-0.0253175987395652,0.0268405777342829,-0.0779241644230074,0.0272889669438771,0.975000204013628,105.696076483867,6,1.62124309492697e-20,147.071036411234,39,1.88189136042156e-14,73.4822022393656,"full_fixed_effect_covariance",-0.0515663860330315,0.0275696671197853,5.89578097637058e-23,FALSE,FALSE,FALSE,FALSE,FALSE
