"analysis_taxon_id","common_name","did_early_pre","did_immediate_pre","did_spawn_start","did_early_egg","did_late_egg"
"atx_04afbeb21fb0","Hooded Merganser",-0.034128109365131,0.0173953518008575,-0.0135810669131589,0.0195185419109741,0.0107952825664581
"atx_04cf65098f13","Red-throated Loon",0.0190643557736765,-0.0846649206055828,-0.056898906946499,0.0357440975792605,0.0867553741991447
"atx_08bb40b40c0a","Ring-billed Gull",-0.0553061789180387,-0.0407807418104787,0.0351389628386933,-0.0411668468523027,0.102114804742127
"atx_1328b44be502","Black Scoter",0.0543844926980801,0.00574042077122743,-0.0922681593678309,0.0908526080365011,-0.0587093621379778
"atx_136b0e66254b","Common Murre",-0.0906215735595778,0.159407906780177,0.104272486245413,-0.213138056211821,0.0400792367458081
"atx_15dd5efcd8d6","Black Turnstone",-0.0642067007274923,0.000797335133321114,-0.00402333319501769,0.11123220249277,-0.0437995037035816
"atx_1930f23cc4f8","Surf Scoter",-0.13557868034489,-0.100447992227893,-0.0264266541478678,0.210467750484198,0.0519855762364526
"atx_3083477933a8","White-winged Scoter",-0.0225277199811262,-0.0285216984859241,-0.0330791048654642,0.192977899956022,-0.108849376623507
"atx_35518e24dfdd","Common Merganser",-0.0574989119750966,-0.0423446543777509,0.0768124163516346,0.0474305254400401,-0.0243993754388272
"atx_35707a9578d5","Pelagic Cormorant",-0.00540454347936036,-0.0285985870464807,-0.00535991785949296,0.0116252649397847,0.0277377834455492
"atx_40f730f5ad72","Long-tailed Duck",-0.175511011108968,-0.16163817857878,-0.0103617746604348,0.263667394011957,0.0838435703362252
"atx_4ae57d328ec6","Greater Scaup",-0.0983991052343403,-0.108500192511108,-0.114168121556832,0.105572616115291,0.215494803186989
"atx_59441ff7abde","Brant",-3.19978122998235e-06,-0.0795864119226856,-0.00692190858172048,0.0396538259751193,0.0468576943105167
"atx_5a9a3495d0ea","Western Gull",-0.0803926830217847,0.0167997450753694,0.0788367286695561,0.0236211215728198,-0.0388649122959607
"atx_6b4cfd1ab927","Horned Grebe",-0.00493624982522834,0.00315573633679656,-0.0153048598634113,0.0317776002403585,-0.0146922268885153
"atx_725074cbfcb6","Glaucous-winged Gull",-0.0756339101807957,-0.0715334293982892,0.126945066211096,0.0669107396482412,-0.0466884662802527
"atx_7571c026ae99","American Herring Gull",0.0042947443544296,-0.00930256655639,-0.00252007397457871,0.0424521616567381,-0.034924265480199
"atx_7b80ddaff058","Great Blue Heron",-0.0291200434908983,0.0256930471996175,-0.00151025055422687,0.00272078253558653,0.00221646430992113
"atx_7d980a7c8c37","Northern Pintail",-0.0304070692137331,-0.0263217123364952,0.0379243120085642,0.0555045240990849,-0.0367000545574209
"atx_815c98107028","Mallard",-0.0520611791374007,-0.0389905048627217,0.0042651403328972,0.0314200798868456,0.0553664637803796
"atx_82312e6f2848","Common Goldeneye",-0.0753246568415877,-0.104746058113802,-0.0165119754595935,0.127257238456025,0.0693254519589575
"atx_8608f2ed61cf","Pigeon Guillemot",-0.029018394935531,0.00713208450116947,-0.0319237160349161,0.020463112270933,0.0333469141983446
"atx_86eda7ed9025","Red-necked Grebe",0.0210710199878362,-0.0372650079711646,-0.00342430597803346,0.0143870929558005,0.00523120100556139
"atx_87b306550dba","Harlequin Duck",-0.116963861163759,-0.0442818072991387,0.0361575356976085,0.128621255196431,-0.00353312243114232
"atx_98ca0000b734","Brandt's Cormorant",-0.0125867315451491,-0.0233496367143923,0.00725305099715647,0.00788998122826778,0.0207933360341172
"atx_99238953638b","Bufflehead",-0.0520507489255681,-0.0579094448204322,0.0230966472071492,0.0717315084085249,0.0151320381303262
"atx_9ae1aa9b7fdf","Common Loon",-0.0132619715942194,-0.0259859525023673,0.0395664373839174,0.0189360270685946,-0.0192545403559254
"atx_a113baee5693","American Wigeon",-0.0540943181208806,0.0196244660945751,-0.00191136797907719,0.0520729976928826,-0.0156917776874999
"atx_a444854c6b66","Double-crested Cormorant",-0.0882588941314594,-0.0113427811542183,0.0670987899936207,0.0330761660481017,-0.000573280756044778
"atx_aa5353f6d6d2","Iceland Gull",-0.072689232410726,0.020774542574554,0.023725446285818,0.136441544451757,-0.108252300901403
"atx_acf526bb8010","Marbled Murrelet",0.00365900370225505,-0.0119979843723381,-0.0766160632237276,0.121979180312082,-0.037024136418271
"atx_b3d3ea90f9cb","Canada Goose",-0.045841185406176,-0.0117148214998263,0.0422865703382719,0.00297151527364125,0.0122979212940891
"atx_c12b832d2b03","California Gull",-0.100142522537643,-0.0364866531151195,0.0298569210387999,0.0836602256626009,0.0231120289513619
"atx_c2d1fbbaf6d3","Red-breasted Merganser",-0.0905495322358749,-0.0387604187671635,0.0937637484874051,0.0418303997890859,-0.00628419727345267
"atx_c34f23342a55","Pacific Loon",-0.107138589780052,-0.0680144845735532,0.0933901816290314,0.0451186718179581,0.0366442209066156
"atx_c9db024faf12","American Crow",0.0217511168606155,-0.020704665836072,-0.00687333701150159,0.014152584857728,-0.00832569887076989
"atx_d002764a39e8","Lesser Scaup",-0.0118970802455414,-0.0393520145726221,-0.159256129121202,0.138511201196239,0.071994022743126
"atx_d7dd9536145c","Barrow's Goldeneye",-0.0737929785456583,-0.0412087661813868,-0.0268779620947303,0.0607800254490938,0.0810996813726818
