"analysis_taxon_id","common_name","contrast","short_label","minimum_day","maximum_day","role","estimate_link","standard_error","ratio","conf_low_link","conf_high_link","ratio_conf_low","ratio_conf_high"
"atx_04afbeb21fb0","Hooded Merganser","did_early_pre","Early pre",-14,-8,"disjoint_period",-0.0362492115509241,0.0245239164251909,0.964399923932179,-0.0843160877442983,0.0118176646424501,0.91914068106937,1.01188776912617
"atx_04cf65098f13","Red-throated Loon","did_early_pre","Early pre",-14,-8,"disjoint_period",0.0220732937818342,0.107301796080663,1.02231871132916,-0.188238226536265,0.232384814099934,0.828417332731933,1.26160511886816
"atx_08bb40b40c0a","Ring-billed Gull","did_early_pre","Early pre",-14,-8,"disjoint_period",-0.214893335926779,0.0862351999247303,0.806627473760822,-0.38391432777925,-0.0458723440743076,0.681189783721267,0.955163886738503
"atx_1328b44be502","Black Scoter","did_early_pre","Early pre",-14,-8,"disjoint_period",0.124315365531262,0.0833508142959007,1.1323729260842,-0.0390522304887034,0.287682961551227,0.961700477748634,1.33333451879979
"atx_136b0e66254b","Common Murre","did_early_pre","Early pre",-14,-8,"disjoint_period",-0.058804751962922,0.120844694765161,0.942890848773325,-0.295660353702638,0.178050849776794,0.744040095572502,1.19488607938045
"atx_15dd5efcd8d6","Black Turnstone","did_early_pre","Early pre",-14,-8,"disjoint_period",-0.00819349353122567,0.0655845560207416,0.991839981648284,-0.136739223331879,0.120352236269428,0.872197645273895,1.12789406681687
"atx_1930f23cc4f8","Surf Scoter","did_early_pre","Early pre",-14,-8,"disjoint_period",-0.0617218764321745,0.0435055199557878,0.94014432672752,-0.146992695545519,0.0235489426811696,0.863300283330912,1.02382840842778
"atx_3083477933a8","White-winged Scoter","did_early_pre","Early pre",-14,-8,"disjoint_period",0.112794751997292,0.0640171025314827,1.11940215431219,-0.0126787689644141,0.238268272958998,0.987401268012943,1.269049598853
"atx_35518e24dfdd","Common Merganser","did_early_pre","Early pre",-14,-8,"disjoint_period",-0.00922581679655325,0.0264151384378386,0.990816610475565,-0.0609994881347169,0.0425478545416104,0.940823721350887,1.04346598976553
"atx_35707a9578d5","Pelagic Cormorant","did_early_pre","Early pre",-14,-8,"disjoint_period",0.0248318570723984,0.0301718577121566,1.02514273553141,-0.0343049840434285,0.0839686981882253,0.966276760700143,1.08759484958674
"atx_40f730f5ad72","Long-tailed Duck","did_early_pre","Early pre",-14,-8,"disjoint_period",0.0342000365520255,0.0686220969144702,1.03479158216626,-0.100299273400336,0.168699346504387,0.904566664781757,1.18376418257742
"atx_4ae57d328ec6","Greater Scaup","did_early_pre","Early pre",-14,-8,"disjoint_period",0.0159616201207924,0.0736920518572848,1.01608968725827,-0.128474801519486,0.160398041761071,0.879435722583133,1.17397807030178
