"stage","row_type","outcome","guild","species","estimate","standard_error","conf_low","conf_high","ratio_spawn_start_vs_early_egg","q_between","df_between","p_guild_differences","q_residual","df_residual","p_residual_heterogeneity","residual_i2_percent","variance_method","s1_estimate","s1_standard_error","s1_p_guild_differences","s1_q_between","changed_direction","changed_omnibus_significance"
"s2_detectability","guild_mean","checklist_reporting","alcid_piscivore",4,-0.0252835252868632,0.0595248857844547,-0.141950157608255,0.0913831070345282,0.975033426202958,10.1719615673896,6,0.117594648130554,77.0047947254773,42,0.000793833615823635,45.4579417428092,"full_fixed_effect_covariance",-0.0245036597529924,0.0593184368273949,0.124404886690671,10.0058736138875,FALSE,FALSE
"s2_detectability","guild_mean","checklist_reporting","gull_roe",9,0.0368243334379839,0.0224171768328859,-0.00711252578953816,0.080761192665506,1.03751074888277,10.1719615673896,6,0.117594648130554,77.0047947254773,42,0.000793833615823635,45.4579417428092,"full_fixed_effect_covariance",0.0392974282943328,0.0225399949425549,0.124404886690671,10.0058736138875,FALSE,FALSE
"s2_detectability","guild_mean","checklist_reporting","intertidal_roe_shorebird",5,-0.0675142105547036,0.0383516799169685,-0.14268212193857,0.00765370082916278,0.934714437711,10.1719615673896,6,0.117594648130554,77.0047947254773,42,0.000793833615823635,45.4579417428092,"full_fixed_effect_covariance",-0.0609580961026586,0.0382802923508409,0.124404886690671,10.0058736138875,FALSE,FALSE
"s2_detectability","guild_mean","checklist_reporting","piscivore_active_spawn",12,0.00495553945525116,0.0183786191914353,-0.0310658922455386,0.0409769711560409,1.00496783844855,10.1719615673896,6,0.117594648130554,77.0047947254773,42,0.000793833615823635,45.4579417428092,"full_fixed_effect_covariance",-4.80163452079463e-05,0.0182210297621382,0.124404886690671,10.0058736138875,TRUE,FALSE
"s2_detectability","guild_mean","checklist_reporting","roe_diving_seaduck",10,0.031630863767138,0.0197789271925479,-0.00713512118309578,0.0703968487173719,1.03213643602041,10.1719615673896,6,0.117594648130554,77.0047947254773,42,0.000793833615823635,45.4579417428092,"full_fixed_effect_covariance",0.0200235564695476,0.0193199527081917,0.124404886690671,10.0058736138875,FALSE,FALSE
"s2_detectability","guild_mean","checklist_reporting","shoreline_scavenger",4,0.044240430854916,0.0191587648761072,0.00668994170947498,0.081790920000357,1.04523363109547,10.1719615673896,6,0.117594648130554,77.0047947254773,42,0.000793833615823635,45.4579417428092,"full_fixed_effect_covariance",0.0460629405601517,0.0190961629145399,0.124404886690671,10.0058736138875,FALSE,FALSE
"s2_detectability","guild_mean","checklist_reporting","surface_vegetation_roe",5,-0.00558423077362524,0.0222428928911614,-0.0491794997522835,0.038011038205033,0.994431332060746,10.1719615673896,6,0.117594648130554,77.0047947254773,42,0.000793833615823635,45.4579417428092,"full_fixed_effect_covariance",-0.0077097990771948,0.0219167388045647,0.124404886690671,10.0058736138875,FALSE,FALSE
"s2_detectability","guild_mean","conditional_positive_numeric_count","alcid_piscivore",3,-0.0468557116014708,0.0459867342201481,-0.136988054439577,0.0432766312366352,0.954225071265145,103.911043022669,6,3.82781594105352e-20,149.515983658563,39,7.4795325295383e-15,73.9158322436877,"full_fixed_effect_covariance",-0.0526878823758417,0.0462798808861357,1.62124309492697e-20,105.696076483867,FALSE,FALSE
"s2_detectability","guild_mean","conditional_positive_numeric_count","gull_roe",8,0.0177374623794424,0.014792588094458,-0.0112554775238313,0.046730402282716,1.01789570539051,103.911043022669,6,3.82781594105352e-20,149.515983658563,39,7.4795325295383e-15,73.9158322436877,"full_fixed_effect_covariance",0.0138824676405662,0.0149172713383038,1.62124309492697e-20,105.696076483867,FALSE,FALSE
"s2_detectability","guild_mean","conditional_positive_numeric_count","intertidal_roe_shorebird",4,-0.0233273968214509,0.026538229575883,-0.0753413710036373,0.0286865773607355,0.976942583512388,103.911043022669,6,3.82781594105352e-20,149.515983658563,39,7.4795325295383e-15,73.9158322436877,"full_fixed_effect_covariance",-0.0253175987395652,0.0268405777342829,1.62124309492697e-20,105.696076483867,FALSE,FALSE
"s2_detectability","guild_mean","conditional_positive_numeric_count","piscivore_active_spawn",12,0.0118314211674842,0.0111847130353876,-0.0100902135592912,0.0337530558942595,1.01190168928134,103.911043022669,6,3.82781594105352e-20,149.515983658563,39,7.4795325295383e-15,73.9158322436877,"full_fixed_effect_covariance",0.0113982564886399,0.0112599629519414,1.62124309492697e-20,105.696076483867,FALSE,FALSE
"s2_detectability","guild_mean","conditional_positive_numeric_count","roe_diving_seaduck",10,-0.096112495124038,0.0129977234338369,-0.121587564935371,-0.0706374253127054,0.908361824044694,103.911043022669,6,3.82781594105352e-20,149.515983658563,39,7.4795325295383e-15,73.9158322436877,"full_fixed_effect_covariance",-0.101769783047113,0.013228497676374,1.62124309492697e-20,105.696076483867,FALSE,FALSE
"s2_detectability","guild_mean","conditional_positive_numeric_count","shoreline_scavenger",4,0.0487786458996855,0.00753363095694862,0.0340130005512502,0.0635442912481208,1.04998790588642,103.911043022669,6,3.82781594105352e-20,149.515983658563,39,7.4795325295383e-15,73.9158322436877,"full_fixed_effect_covariance",0.046541988297782,0.00760170397365963,1.62124309492697e-20,105.696076483867,FALSE,FALSE
"s2_detectability","guild_mean","conditional_positive_numeric_count","surface_vegetation_roe",5,-0.0293808059191122,0.0138732339042768,-0.0565718447205947,-0.00218976711762964,0.971046613752153,103.911043022669,6,3.82781594105352e-20,149.515983658563,39,7.4795325295383e-15,73.9158322436877,"full_fixed_effect_covariance",-0.0349546515087663,0.0148458291145457,1.62124309492697e-20,105.696076483867,FALSE,FALSE
