"analysis_version","analysis_taxon_id","species","outcome","within_year_tercile","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value_descriptive_not_family_adjusted","n","status","interpretation"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","checklist_reporting",1,0.177087175586736,0.0972813691197905,-0.0135808042548003,0.367755155428272,1.19373515315371,0.986510998810908,1.44448832054842,0.0687041019237377,217037,"completed","ordered visual diagnostic; not a separate test family"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","conditional_positive_numeric_count",1,0.166953400967571,0.0556507852737074,0.0578798661197327,0.27602693581541,1.18169919798608,1.05958769568255,1.31788336181219,0.00269962960378887,85053,"completed","ordered visual diagnostic; not a separate test family"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","checklist_reporting",1,0.00742973333935303,0.0783421074235647,-0.146117975683802,0.160977442362508,1.00745740228996,0.864055759602247,1.17465847099504,0.924444268176271,217199,"completed","ordered visual diagnostic; not a separate test family"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","conditional_positive_numeric_count",1,0.0808068172889428,0.027720564802065,0.0264755086457867,0.135138125932099,1.08416143508999,1.02682909851855,1.14469488548016,0.00355632183946466,83359,"completed","ordered visual diagnostic; not a separate test family"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","checklist_reporting",2,0.0726142256214617,0.077755484732196,-0.0797837240540964,0.22501217529702,1.07531562767117,0.923316015838701,1.25233796368572,0.350366237550817,217037,"completed","ordered visual diagnostic; not a separate test family"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","conditional_positive_numeric_count",2,0.235245358864481,0.0442889235471329,0.148440663798052,0.322050053930909,1.26521916338954,1.16002396431608,1.37995384634309,1.08662705213753e-07,85053,"completed","ordered visual diagnostic; not a separate test family"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","checklist_reporting",2,-0.0331395464709664,0.0637660061082001,-0.158118621881,0.091839528939067,0.967403552417624,0.85374850270834,1.09618890137012,0.6032688268422,217199,"completed","ordered visual diagnostic; not a separate test family"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","conditional_positive_numeric_count",2,0.129004440330147,0.0212779213139952,0.0873004808888394,0.170708399771455,1.1376951758967,1.09122452257502,1.18614481848729,1.33746205071963e-09,83359,"completed","ordered visual diagnostic; not a separate test family"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","checklist_reporting",3,0.231694966704454,0.0461657860032185,0.141211688820162,0.322178244588745,1.26073510398604,1.15166841751071,1.38013075487321,5.20062685761998e-07,217037,"completed","ordered visual diagnostic; not a separate test family"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","conditional_positive_numeric_count",3,0.389808226659765,0.0251374323581558,0.340539764573968,0.439076688745562,1.47669757550007,1.40570613620088,1.55127424810229,3.10680071642394e-54,85053,"completed","ordered visual diagnostic; not a separate test family"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","checklist_reporting",3,0.137489296036974,0.0381024015426787,0.0628099612888408,0.212168630785108,1.14738942429237,1.06482446213378,1.23635635524362,0.000308072829827421,217199,"completed","ordered visual diagnostic; not a separate test family"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","conditional_positive_numeric_count",3,0.09747375519539,0.01227914405933,0.0734070750781242,0.121540435312656,1.1023825093701,1.07616852914887,1.12923502597335,2.05209938312567e-15,83359,"completed","ordered visual diagnostic; not a separate test family"
