"analysis_version","outcome","guild","species_count","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","q_between","df_between","p_guild_differences","q_residual","df_residual","p_residual_heterogeneity","residual_i2_percent","variance_method"
"post_stage4a_stage3_dose_v1","checklist_reporting","alcid_piscivore",4,-0.0688658747954524,0.0323618806194428,-0.132293995281545,-0.00543775430935979,0.933451871105526,0.876083392830574,0.99457700351468,27.5539529806526,6,0.000113988401279309,56.8564506340948,42,0.0626985690579869,26.1297539125418,"inverse variance from exact full fixed-effect covariance"
"post_stage4a_stage3_dose_v1","checklist_reporting","gull_roe",9,0.065240540343935,0.0125511484861631,0.0406407413464409,0.0898403393414292,1.06741575005815,1.04147787838703,1.09399960106383,27.5539529806526,6,0.000113988401279309,56.8564506340948,42,0.0626985690579869,26.1297539125418,"inverse variance from exact full fixed-effect covariance"
"post_stage4a_stage3_dose_v1","checklist_reporting","intertidal_roe_shorebird",5,0.0376739026713462,0.0190739069395422,0.00028973202537487,0.0750580733173175,1.03839256062133,1.00028977400175,1.07794674901058,27.5539529806526,6,0.000113988401279309,56.8564506340948,42,0.0626985690579869,26.1297539125418,"inverse variance from exact full fixed-effect covariance"
"post_stage4a_stage3_dose_v1","checklist_reporting","piscivore_active_spawn",12,0.00694195032599999,0.00989429329193212,-0.0124505081786632,0.0263344088306632,1.00696610151627,0.987626678727466,1.02668422334376,27.5539529806526,6,0.000113988401279309,56.8564506340948,42,0.0626985690579869,26.1297539125418,"inverse variance from exact full fixed-effect covariance"
"post_stage4a_stage3_dose_v1","checklist_reporting","roe_diving_seaduck",10,0.0336356024662808,0.0104699147204105,0.0131149466930704,0.0541562582394912,1.03420767532961,1.01320132480818,1.05564954320719,27.5539529806526,6,0.000113988401279309,56.8564506340948,42,0.0626985690579869,26.1297539125418,"inverse variance from exact full fixed-effect covariance"
"post_stage4a_stage3_dose_v1","checklist_reporting","shoreline_scavenger",4,0.0165528298762056,0.0102739795913613,-0.00358380010076208,0.0366894598531733,1.01669058700514,0.996422614046191,1.03737082552498,27.5539529806526,6,0.000113988401279309,56.8564506340948,42,0.0626985690579869,26.1297539125418,"inverse variance from exact full fixed-effect covariance"
"post_stage4a_stage3_dose_v1","checklist_reporting","surface_vegetation_roe",5,2.47720074363761e-05,0.0120947704097246,-0.0236805423969046,0.0237300864117774,1.00002477231427,0.976597641472511,1.02401388532367,27.5539529806526,6,0.000113988401279309,56.8564506340948,42,0.0626985690579869,26.1297539125418,"inverse variance from exact full fixed-effect covariance"
"post_stage4a_stage3_dose_v1","conditional_positive_numeric_count","alcid_piscivore",3,0.0508718943601661,0.0256148088202024,0.000667791601690518,0.101075997118642,1.05218809342014,1.00066801462414,1.10636071879538,21.2815059016625,6,0.0016326949447275,88.1356665352114,39,1.14970419667981e-05,55.75003680897,"inverse variance from exact full fixed-effect covariance"
"post_stage4a_stage3_dose_v1","conditional_positive_numeric_count","gull_roe",8,0.0402233769139389,0.00893851867373533,0.022704202238279,0.0577425515895989,1.04104329325985,1.02296390435679,1.05944220888494,21.2815059016625,6,0.0016326949447275,88.1356665352114,39,1.14970419667981e-05,55.75003680897,"inverse variance from exact full fixed-effect covariance"
"post_stage4a_stage3_dose_v1","conditional_positive_numeric_count","intertidal_roe_shorebird",4,-0.00487729511170381,0.0142248796737518,-0.0327575469566732,0.0230029567332655,0.995134579578799,0.96777317069728,1.02326956507791,21.2815059016625,6,0.0016326949447275,88.1356665352114,39,1.14970419667981e-05,55.75003680897,"inverse variance from exact full fixed-effect covariance"
"post_stage4a_stage3_dose_v1","conditional_positive_numeric_count","piscivore_active_spawn",12,-0.00181487744358102,0.00606340581316775,-0.0136989344610406,0.0100691795738786,0.998186768450637,0.986394468946144,1.01012004434133,21.2815059016625,6,0.0016326949447275,88.1356665352114,39,1.14970419667981e-05,55.75003680897,"inverse variance from exact full fixed-effect covariance"
"post_stage4a_stage3_dose_v1","conditional_positive_numeric_count","roe_diving_seaduck",10,0.00678931571452652,0.00684964059079414,-0.00663573315047366,0.0202143645795267,1.00681241536581,0.99338623470894,1.02042005849995,21.2815059016625,6,0.0016326949447275,88.1356665352114,39,1.14970419667981e-05,55.75003680897,"inverse variance from exact full fixed-effect covariance"
"post_stage4a_stage3_dose_v1","conditional_positive_numeric_count","shoreline_scavenger",4,0.00433546702529001,0.00413732695121038,-0.00377354479134924,0.0124444788419293,1.00434487875896,0.996233566081586,1.01252223357303,21.2815059016625,6,0.0016326949447275,88.1356665352114,39,1.14970419667981e-05,55.75003680897,"inverse variance from exact full fixed-effect covariance"
"post_stage4a_stage3_dose_v1","conditional_positive_numeric_count","surface_vegetation_roe",5,-0.00220440622208921,0.00770666430933064,-0.0173091907093175,0.0129003782651391,0.997798021696939,0.982839752730578,1.01298394711477,21.2815059016625,6,0.0016326949447275,88.1356665352114,39,1.14970419667981e-05,55.75003680897,"inverse variance from exact full fixed-effect covariance"
