"analysis_version","analysis_taxon_id","species","outcome","component","comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","checklist_reporting","within_location","dose_did_active_minus_pre",0.0589570124982181,0.0239847976059039,0.011947673014164,0.105966351982272,1.06072964164271,1.01201933155931,1.11178446653371,0.0139674575425017,0.171101354895646,217037,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_725074cbfcb6","Glaucous-winged Gull","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",0.0970779930917322,0.0131061274603383,0.0713904552926777,0.122765530890787,1.10194631446956,1.07400049318736,1.13061929456787,1.29121091907822e-13,6.32693350348329e-12,85053,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","checklist_reporting","within_location","dose_did_active_minus_pre",0.0360370523505623,0.0196515154947718,-0.00247921026082122,0.0745533149619459,1.03669425773837,0.997523860442773,1.07740278367944,0.0666829076538608,0.251343267310706,217199,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_fc0a9b777dcd","Bald Eagle","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",0.00883659733552753,0.00646003873555861,-0.00382484592490102,0.0214980405959561,1.00887575531788,0.996182459481288,1.02173078835198,0.171347724359024,0.599717035256583,83359,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","within_location","dose_did_active_minus_pre",0.013483483692531,0.0406782928429469,-0.0662445052322183,0.0932114726172803,1.01357479579899,0.935902003377244,1.09769384291494,0.740292283470182,0.863674330715212,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",0.0446607437731176,0.0209321069706348,0.00363456799013355,0.0856869195561017,1.04567304863312,1.00364118104181,1.08946518466159,0.0328755366596091,0.390106575419617,20340,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_04cf65098f13","Red-throated Loon","checklist_reporting","within_location","dose_did_active_minus_pre",0.0470000711127743,0.114756915304967,-0.177919349861874,0.271919492087423,1.04812208361452,0.837009925732822,1.31248133192522,0.682127281171345,0.815225287253559,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",-0.0213187727676571,0.0966791374799084,-0.210806400284674,0.16816885474936,0.97890686597689,0.809930854086592,1.18313637197756,0.825473532801494,0.99684195134258,1488,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","within_location","dose_did_active_minus_pre",0.00736050481766167,0.065749272537416,-0.121505701365382,0.136226711000705,1.00738765991744,0.885586004285086,1.14594166172848,0.910864573897577,0.954869562952147,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",-0.0122339645348273,0.0721195132395879,-0.153585613066979,0.129117683997324,0.987840566164374,0.857627336949065,1.1378240199658,0.865297512705004,0.99684195134258,4549,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_1328b44be502","Black Scoter","checklist_reporting","within_location","dose_did_active_minus_pre",0.0398724297520617,0.0459549592985259,-0.0501976353840531,0.129942494888176,1.04067800617267,0.951041446484246,1.13876289675402,0.385590621021776,0.633008534140379,217178,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",0.0340166091078871,0.045616939085638,-0.0553909485849208,0.123424166800695,1.03460179039817,0.94611519324559,1.1313642063216,0.455847895831205,0.758734342370173,1684,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_136b0e66254b","Common Murre","checklist_reporting","within_location","dose_did_active_minus_pre",-0.0530501241048285,0.0672604677581676,-0.184878218494155,0.0787779702844977,0.948332476974483,0.831205503146522,1.08196406722541,0.430271782292165,0.642481939770475,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",0.117408653506151,0.0831068987688646,-0.0454778749476392,0.280295181959942,1.12457889891227,0.955540743727067,1.3235204340381,0.157731430699132,0.594526161865958,2023,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","within_location","dose_did_active_minus_pre",0.0657394599806995,0.0501325567647515,-0.0325185457311233,0.163997465692522,1.06794843760954,0.968004497313702,1.17821132913916,0.189752128562988,0.462037651632741,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",-0.0427356504408854,0.0530290563267079,-0.146670690975379,0.061199390093608,0.958164646993369,0.863578314728836,1.06311086683112,0.420305579195472,0.758734342370173,4421,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_1812dd827ede","Surfbird","checklist_reporting","within_location","dose_did_active_minus_pre",0.0131762902839456,0.141995553668324,-0.265129880870793,0.291482461438684,1.01326348012212,0.767106311069729,1.33841015949596,0.926067470212671,0.954869562952147,217200,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_1812dd827ede","Surfbird","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",,,,,,,,,,1063,TRUE,"failed_insufficient_support"
"post_stage4a_stage3_dose_v1","atx_1930f23cc4f8","Surf Scoter","checklist_reporting","within_location","dose_did_active_minus_pre",0.0785689570763732,0.0270477181204351,0.025556403696329,0.131581510456417,1.08173794607662,1.02588576838796,1.14063087727673,0.00367455482117504,0.060017728745859,217183,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_1930f23cc4f8","Surf Scoter","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",0.00462050175088962,0.0257846409690902,-0.045916465902823,0.0551574694046023,1.00463119272866,0.955121744091,1.05670700059703,0.857783888847579,0.99684195134258,16632,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_3083477933a8","White-winged Scoter","checklist_reporting","within_location","dose_did_active_minus_pre",0.0632925386593007,0.0341811891343938,-0.00370136099286297,0.130286438311464,1.06533844633131,0.996305480600065,1.13915463412692,0.0640721476004125,0.251343267310706,217199,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_3083477933a8","White-winged Scoter","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",0.0277267652981616,0.0333317548258651,-0.0376022737020531,0.0930558042983763,1.0281147294183,0.963095913299216,1.09752298005906,0.405497935317344,0.758734342370173,4706,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_35518e24dfdd","Common Merganser","checklist_reporting","within_location","dose_did_active_minus_pre",-0.0305306401094212,0.0242110233907938,-0.0779833739842339,0.0169220937653916,0.96993071282874,0.92497980514452,1.01706608344977,0.207300817189337,0.462037651632741,217093,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_35518e24dfdd","Common Merganser","conditional_positive_numeric_count","within_location","dose_did_active_minus_pre",-0.0160568871068926,0.0157768689242848,-0.0469789819873,0.0148652077735147,0.984071337491591,0.954107450822149,1.01497624448696,0.308797419034431,0.758734342370173,27776,TRUE,"completed_with_rank_deficiency_warning"
"post_stage4a_stage3_dose_v1","atx_35707a9578d5","Pelagic Cormorant","checklist_reporting","within_location","dose_did_active_minus_pre",0.0270552050670769,0.03448308413878,-0.0405303979207962,0.09464080805495,1.02742452023749,0.960279973553165,1.09926393745291,0.432691918620932,0.642481939770475,217200,TRUE,"completed_with_rank_deficiency_warning"
