"outcome","guild","species","approximate_mean_link_contrast","approximate_standard_error","approximate_conf_low","approximate_conf_high","approximate_ratio_spawn_start_vs_early_egg","exact_mean_link_contrast","exact_standard_error","exact_conf_low","exact_conf_high","exact_ratio_spawn_start_vs_early_egg","mean_change_exact_minus_approximate","approximate_interval_excludes_zero","exact_interval_excludes_zero","direction_changed"
"detection","alcid_piscivore",4,-0.0613735434843954,0.0755110049397764,-0.209372393602783,0.0866253066339924,0.940471867015412,-0.0613314740059745,0.0598846369371228,-0.178703205629992,0.0560402576180432,0.940511433008581,4.20694784209266e-05,FALSE,FALSE,FALSE
"detection","gull_roe",8,0.0632585793859486,0.0297505479648801,0.00494857685445227,0.121568581917445,1.06530226882609,0.0519581960656213,0.0230115109392313,0.00685646339487846,0.0970599287363641,1.05333170818336,-0.0113003833203273,TRUE,TRUE,FALSE
"detection","intertidal_roe_shorebird",5,-0.0623100441821348,0.0479135136097523,-0.156218805230019,0.0315987168657495,0.93959152673973,-0.0619786835974781,0.0394256219776168,-0.139251482741698,0.0152941155467416,0.939902921926565,0.000331360584656666,FALSE,FALSE,FALSE
"detection","piscivore_active_spawn",12,-0.000540576111877735,0.0224273591147317,-0.044497392245098,0.0434162400213425,0.999459569973064,-0.00115491712269135,0.0184759773807706,-0.0373671673681783,0.0350573331227956,0.998845749537418,-0.000614341010813611,FALSE,FALSE,FALSE
"detection","roe_diving_seaduck",10,0.0181820206268668,0.0242966692590412,-0.0294385760651354,0.0658026173188691,1.01834831992067,0.0161171542363446,0.0196679361912203,-0.0224312923486791,0.0546656008213682,1.01624773615978,-0.00206486639052223,FALSE,FALSE,FALSE
"detection","shoreline_scavenger",4,0.06443417233291,0.0232071985176865,0.0189488990561732,0.109919445609647,1.06655536708212,0.0634683129747177,0.019292489593683,0.0256557281989853,0.10128089775045,1.06552572192604,-0.000965859358192281,TRUE,TRUE,FALSE
"detection","surface_vegetation_roe",5,0.00557349003462354,0.0272232573182431,-0.0477831138509994,0.0589300939202465,1.00558905082608,0.00517173135031211,0.02217122715272,-0.0382830753620756,0.0486265380626998,1.00518512783728,-0.000401758684311429,FALSE,FALSE,FALSE
"positive_numeric_count_given_detection","alcid_piscivore",3,-0.0620598974536398,0.055821144968568,-0.171467331167822,0.0473475362605427,0.939826591885428,-0.0639679896676248,0.0442544717447764,-0.150705160442232,0.0227691811069824,0.938035025863108,-0.00190809221398498,FALSE,FALSE,FALSE
"positive_numeric_count_given_detection","gull_roe",8,0.0193210105628397,0.0198309160045853,-0.0195468705865864,0.0581888917122659,1.01950886920989,0.00872899234966189,0.0151517718979342,-0.0209679348722553,0.0384259195715791,1.00876720109709,-0.0105920182131778,FALSE,FALSE,FALSE
"positive_numeric_count_given_detection","intertidal_roe_shorebird",4,-0.0527056121849517,0.0329064362088594,-0.117201042013881,0.0117898176439775,0.948659245101332,-0.0515663860330315,0.0275696671197853,-0.105601940653569,0.00246916858750576,0.949740598358616,0.00113922615192017,FALSE,FALSE,FALSE
"positive_numeric_count_given_detection","piscivore_active_spawn",12,0.00265194090875977,0.0135469657564609,-0.0238996240737009,0.0292035058912205,1.00265546041454,0.00243790761256491,0.0111955224546719,-0.0195049131867015,0.0243807284118313,1.00244088172571,-0.000214033296194863,FALSE,FALSE,FALSE
"positive_numeric_count_given_detection","roe_diving_seaduck",10,-0.112646071624492,0.0160546078164595,-0.144112524730668,-0.0811796185183162,0.893466827425225,-0.115221557388834,0.0133595891391943,-0.141405870949907,-0.0890372438277604,0.891168677027424,-0.00257548576434162,TRUE,TRUE,FALSE
"positive_numeric_count_given_detection","shoreline_scavenger",4,0.0441583370481478,0.00937629872220944,0.0257811292443284,0.0625355448519672,1.04514782740975,0.0461661748640281,0.00768568486956189,0.0311025093231624,0.0612298404048939,1.04724842286261,0.00200783781588033,TRUE,TRUE,FALSE
"positive_numeric_count_given_detection","surface_vegetation_roe",5,-0.0145333651578936,0.0183092190878017,-0.0504187751550382,0.021352044839251,0.985571734427256,-0.0143842137480089,0.0149395260683867,-0.0436651467881441,0.0148967192921264,0.985718744804118,0.000149151409884746,FALSE,FALSE,FALSE
