"analysis_taxon_id","unit_label","common_name","guild_ids","outcome","estimate_spawn_start","standard_error_spawn_start","estimate_early_egg","standard_error_early_egg","timing_contrast","persisted_summary_timing_contrast","persisted_minus_frozen_timing_contrast","approximate_timing_variance","approximate_timing_standard_error","spawn_early_covariance","covariance_sign","exact_timing_variance","exact_timing_standard_error","exact_conf_low","exact_conf_high","ratio_spawn_start_vs_early_egg","exact_standard_error_divided_by_approximate","exact_inverse_variance_weight","exact_variance_method"
"atx_04afbeb21fb0","Hooded Merganser","Hooded Merganser","piscivore_active_spawn","detection",-0.0026929239652459,0.0563000942589538,-0.0390753364548772,0.0405181671308016,0.0363824124896313,0.0363824124896313,-2.77555756156289e-17,0.00481142248120665,0.0693644179764139,0.000655590323821537,"positive",0.00350024183356358,0.059162841662344,-0.0795746263916087,0.152339451370871,1.03705235244365,0.852927817868539,285.694545562843,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_04cf65098f13","Red-throated Loon","Red-throated Loon","piscivore_active_spawn","detection",0.0933664870736903,0.226844847837429,-0.0244366893651082,0.137994394232454,0.117803176438799,0.117803176438799,-4.71844785465692e-16,0.0705010378299682,0.265520315286737,0.00726348489444383,"positive",0.0559740680410805,0.236588393715923,-0.345901554404592,0.58150790728219,1.1250226586084,0.891036881529873,17.8654158076572,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_08bb40b40c0a","Ring-billed Gull","Ring-billed Gull","gull_roe","detection",-0.214279049262867,0.085331115852778,-0.244057586922361,0.072392684157725,0.029778537659494,0.0297785376594939,-1.00613961606655e-16,0.0125221000522403,0.111902189666871,0.00236379837713537,"positive",0.00779450329796961,0.0882864842315606,-0.143259791756028,0.202816867075016,1.03022635234839,0.788961185606703,128.295538762616,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_1328b44be502","Black Scoter","Black Scoter","roe_diving_seaduck","detection",-0.04820141104868,0.0890050642264586,0.0374114920568678,0.0756182774527515,-0.0856129031055478,-0.0856129031055478,4.16333634234434e-17,0.0136400253428773,0.116790519062454,0.00259770078417194,"positive",0.00844462377453344,0.0918946340899916,-0.265723076294418,0.0944972700833223,0.917949497854293,0.786832996613798,118.418537841285,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_136b0e66254b","Common Murre","Common Murre","alcid_piscivore","detection",-0.141144270384467,0.126859683403462,-0.109273723390907,0.0946469903130111,-0.03187054699356,-0.0318705469935599,9.71445146547012e-17,0.0250514320485378,0.158276441862135,0.00329513998671951,"positive",0.0184611520750988,0.135871822226313,-0.298174425070962,0.234433331083842,0.968631966283511,0.858446276829136,54.1678003589409,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_15dd5efcd8d6","Black Turnstone","Black Turnstone","intertidal_roe_shorebird","detection",0.00207111150068355,0.0888899173133996,0.0510095335117763,0.0774406155037697,-0.0489384220110927,-0.0489384220110928,-9.0205620750794e-17,0.0138984663295857,0.117891756834758,0.00209475563866453,"positive",0.00970895505225665,0.0985340299199046,-0.242061571905698,0.144184727883512,0.952239764902848,0.835800844481552,102.997695902153,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_1812dd827ede","Surfbird","Surfbird","intertidal_roe_shorebird","detection",-0.0499144589696369,0.23968288504535,0.0938613665467853,0.165522895234943,-0.143775825516422,-0.143775825516422,-1.66533453693773e-16,0.0848457142306204,0.291282876651925,0.00897590376194957,"positive",0.0668939067067216,0.258638563842907,-0.650698095661684,0.36314644462884,0.866081879756836,0.887929173234489,14.9490446773311,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_1930f23cc4f8","Surf Scoter","Surf Scoter","roe_diving_seaduck","detection",0.0205771948541568,0.0523371500652361,-0.0196741490658854,0.0418101970777347,0.0402513439200422,0.0402513439200422,0,0.00448726985663006,0.0669870872379898,0.000734750738604202,"positive",0.00301776837942166,0.0549342186566957,-0.0674177461659297,0.147920434006014,1.04107240853112,0.820071761913263,331.370693264288,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_3083477933a8","White-winged Scoter","White-winged Scoter","roe_diving_seaduck","detection",-0.0978870309388856,0.0692048321660718,-0.0909839366533487,0.0589757481660501,-0.0069030942855369,-0.00690309428553698,-8.15320033709099e-17,0.00826744766687953,0.0909255061403539,0.00159103423527038,"positive",0.00508537919633876,0.0713118447127738,-0.146671741593687,0.132865553022613,0.993120677339113,0.784288674760807,196.642169913299,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_35518e24dfdd","Common Merganser","Common Merganser","piscivore_active_spawn","detection",0.223579564607706,0.0428109371143759,0.153008455659564,0.0325731828439184,0.070571108948142,0.0705711089481421,8.32667268468867e-17,0.00289378857719439,0.053793945544033,0.000460435107119401,"positive",0.00197291836295559,0.0444175456655992,-0.0164856808380956,0.15762789873438,1.07312087521433,0.825697859050722,506.863344564304,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_35707a9578d5","Pelagic Cormorant","Pelagic Cormorant","piscivore_active_spawn","detection",-0.00666188360829596,0.0600556160087154,0.0473269187418413,0.0463588893089488,-0.0539888023501373,-0.0539888023501373,6.93889390390723e-18,0.00575582363214564,0.0758671446157402,0.000953776211474018,"positive",0.00384827120919761,0.0620344356724361,-0.175574062069379,0.0675964573691041,0.947442715574194,0.817671944642632,259.856945012071,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_40f730f5ad72","Long-tailed Duck","Long-tailed Duck","roe_diving_seaduck","detection",-0.0276012119788844,0.0797007637318608,0.151127497207897,0.0684754772169723,-0.178728709186781,-0.178728709186781,-2.77555756156289e-17,0.011041102719534,0.105076651638382,0.00228081556311331,"positive",0.00647947159330738,0.0804951650306239,-0.336496333576412,-0.0209610847971501,0.836332758017359,0.76606138257665,154.333572668626,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_4ae57d328ec6","Greater Scaup","Greater Scaup","roe_diving_seaduck","detection",0.131535329608194,0.0647449193667567,0.130498071987353,0.054871013971975,0.001037257620841,0.0010372576208405,-4.96130914129367e-16,0.0072027327581205,0.0848689151463626,0.00160852875631139,"positive",0.00398567524549771,0.0631322045037056,-0.122699589471039,0.124774104712721,1.00103779575857,0.74387900911458,250.898514907761,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_59441ff7abde","Brant","Brant","surface_vegetation_roe","detection",0.0979319390241923,0.0772124457178252,0.093711452517786,0.0643850453249648,0.0042204865064063,0.00422046274975529,-2.37566510066442e-08,0.0101071958352259,0.100534550455184,0.00224961143794262,"positive",0.00560798143338728,0.074886456942409,-0.142554272030525,0.150995245043337,1.00422940530239,0.744882795052549,178.317280803833,"linear_contrast_against_persisted_fixed_effect_covariance"
"atx_5a9a3495d0ea","Western Gull","Western Gull","gull_roe","detection",0.00100593666690667,0.173108019749587,0.277595486973898,0.144344054904935,-0.276589550306991,-0.276589550818158,-5.11167275174529e-10,0.0508015926880223,0.22539208656921,0.0108721510951392,"positive",0.0290572908783121,0.170461992474311,-0.610688916289579,0.0575098156755965,0.758365704209191,0.756290937578983,34.4147706056928,"linear_contrast_against_persisted_fixed_effect_covariance"
