"analysis_version","analysis_taxon_id","species","outcome","comparison","engine","n","event_blocks_in_model","estimate","wald_standard_error","wald_conf_low","wald_conf_high","wald_p_value","wald_status","satterthwaite_standard_error","satterthwaite_df","satterthwaite_conf_low","satterthwaite_conf_high","satterthwaite_p_value","satterthwaite_status","satterthwaite_message","kenward_roger_standard_error","kenward_roger_df","kenward_roger_conf_low","kenward_roger_conf_high","kenward_roger_p_value","kenward_roger_status","kenward_roger_message","kenward_roger_projected_dense_gb","converged","singular_fit","rank_deficient","convergence_message","maximum_absolute_gradient","status","fit_seconds","interval_seconds","kenward_roger_seconds","multiplicity_family","primary_interval_method","primary_standard_error","primary_denominator_df","primary_conf_low","primary_conf_high","primary_p_value","inference_strength_label","ratio","ratio_conf_low","ratio_conf_high","direction","q_value_bh_fixed49","q_value_bh_fixed49_satterthwaite","q_value_bh_fixed49_wald","q_value_bh_estimable_only","significant_bh_fixed49"
"post_stage4a_blockaware_v1","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","active_minus_pre14","lme4_glmer_nAGQ0_random_slope",217200,58,0.00719067001932941,0.0478772382393795,-0.0866469926090984,0.101028332647757,0.880614919447441,"completed",,,,,,"not_applicable_non_gaussian","",,,,,,"not_applicable_binomial_glmm","",9490.15974998474,TRUE,FALSE,FALSE,"",,"completed",216.93145108223,0.0395100116729736,,"blockaware_random_slope__fixed_49_species__checklist_reporting","wald",0.0478772382393795,Inf,-0.0866469926090984,0.101028332647757,0.880614919447441,"weaker: prespecified Wald on the random-slope binomial fit",1.00721658496503,0.917000746545202,1.10630798595387,"positive",0.918087894743077,0.918087894743077,0.918087894743077,0.899351407095258,FALSE
"post_stage4a_blockaware_v1","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","active_minus_pre14","lmerTest_lmer_REML_random_slope",20340,54,0.0200692787394484,0.0209999166567512,-0.0210898015861268,0.0612283590650236,0.339232043458916,"completed",0.0209999166567512,32.356424450851,-0.022687679558697,0.0628262370375938,0.346318244634189,"completed","",,,,,,"skipped_dense_inverse_memory_infeasible","pbkrtest forms a dense 20340 by 20340 inverse of the marginal covariance; projected working set 83.2 GB exceeds the 12.0 GB budget (row cap 7723)",83.2253783941269,TRUE,FALSE,FALSE,"",0.0866007030708715,"completed",14.7591781616211,0.00596904754638672,,"blockaware_random_slope__fixed_49_species__conditional_positive_numeric_count","satterthwaite_denominator_df",0.0209999166567512,32.356424450851,-0.022687679558697,0.0628262370375938,0.346318244634189,"intermediate: Satterthwaite denominator df, standard error not Kenward-Roger adjusted",1.02027202073788,0.977567750491515,1.06484179309023,"positive",0.615517754404431,0.60605692810983,0.593656076053103,0.57783299393069,FALSE
"post_stage4a_blockaware_v1","atx_04cf65098f13","Red-throated Loon","checklist_reporting","active_minus_pre14","lme4_glmer_nAGQ0_random_slope",217200,58,-0.0392421363681466,0.15518151363464,-0.343392314158453,0.26490804142216,0.800361765635011,"completed",,,,,,"not_applicable_non_gaussian","",,,,,,"not_applicable_binomial_glmm","",9490.15974998474,TRUE,TRUE,FALSE,"boundary (singular) fit: see help('isSingular')",,"completed_with_singular_warning",284.182199001312,0.00233912467956543,,"blockaware_random_slope__fixed_49_species__checklist_reporting","wald",0.15518151363464,Inf,-0.343392314158453,0.26490804142216,0.800361765635011,"weaker: prespecified Wald on the random-slope binomial fit",0.961517862514048,0.709359865045644,1.30331111963051,"negative",0.875927945701062,0.875927945701062,0.875927945701062,0.858051865176551,FALSE
"post_stage4a_blockaware_v1","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","active_minus_pre14","lmerTest_lmer_REML_random_slope",1488,48,0.0760214681465741,0.0911632133645877,-0.102655146762958,0.254698083056106,0.404334465645479,"completed",0.0911632133645877,1040.35480584657,-0.102863259812194,0.254906196105342,0.404525887822538,"completed","",0.0930294646686872,229.03155570484,-0.107281541548968,0.259324477842116,0.414676949701254,"completed","",0.445409774780273,TRUE,TRUE,FALSE,"boundary (singular) fit: see help('isSingular')",0.00154718009071075,"completed_with_singular_warning",0.89313006401062,0.00360918045043945,9.91104507446289,"blockaware_random_slope__fixed_49_species__conditional_positive_numeric_count","kenward_roger",0.0930294646686872,229.03155570484,-0.107281541548968,0.259324477842116,0.414676949701254,"stronger: Kenward-Roger adjusted standard error and denominator df",1.07898573773261,0.898272736288311,1.29605427750256,"positive",0.669396868625446,0.660725616776812,0.657496460018842,0.628413386872867,FALSE
"post_stage4a_blockaware_v1","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","active_minus_pre14","lme4_glmer_nAGQ0_random_slope",217200,58,-0.0105467402321341,0.0665749927144831,-0.141031328223537,0.119937847759269,0.874126684872044,"completed",,,,,,"not_applicable_non_gaussian","",,,,,,"not_applicable_binomial_glmm","",9490.15974998474,TRUE,TRUE,FALSE,"boundary (singular) fit: see help('isSingular')",,"completed_with_singular_warning",183.312103033066,0.00222206115722656,,"blockaware_random_slope__fixed_49_species__checklist_reporting","wald",0.0665749927144831,Inf,-0.141031328223537,0.119937847759269,0.874126684872044,"weaker: prespecified Wald on the random-slope binomial fit",0.98950868162154,0.868462103896559,1.12742677730129,"negative",0.918087894743077,0.918087894743077,0.918087894743077,0.899351407095258,FALSE
"post_stage4a_blockaware_v1","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","active_minus_pre14","lmerTest_lmer_REML_random_slope",4549,45,-0.0171691721939175,0.059223185813847,-0.133244483438781,0.0989061390509462,0.771887953838128,"completed",0.059223185813847,3704.45739016687,-0.133282421139072,0.0989440767512373,0.771904179212016,"completed","",0.0718021471256104,15.5963561615633,-0.169703717850099,0.135365373462264,0.814128041076093,"completed","",4.16280200332403,TRUE,TRUE,FALSE,"boundary (singular) fit: see help('isSingular')",0.00982720848696772,"completed_with_singular_warning",2.75779485702515,0.00258779525756836,181.049966812134,"blockaware_random_slope__fixed_49_species__conditional_positive_numeric_count","kenward_roger",0.0718021471256104,15.5963561615633,-0.169703717850099,0.135365373462264,0.814128041076093,"stronger: Kenward-Roger adjusted standard error and denominator df",0.982977378128459,0.84391481645546,1.14495504412476,"negative",0.955154854382643,0.934856739310185,0.931565814245643,0.896675985746971,FALSE
"post_stage4a_blockaware_v1","atx_1328b44be502","Black Scoter","checklist_reporting","active_minus_pre14","lme4_glmer_nAGQ0_random_slope",217178,58,0.395786441234645,0.098627232215754,0.202480618196899,0.589092264272392,5.99638719371955e-05,"completed",,,,,,"not_applicable_non_gaussian","",,,,,,"not_applicable_binomial_glmm","",9488.23734721541,TRUE,FALSE,FALSE,"",,"completed",434.633311986923,0.00283002853393555,,"blockaware_random_slope__fixed_49_species__checklist_reporting","wald",0.098627232215754,Inf,0.202480618196899,0.589092264272392,5.99638719371955e-05,"weaker: prespecified Wald on the random-slope binomial fit",1.48555203101532,1.22443635310763,1.80235161366511,"positive",0.000432344979553066,0.000432344979553066,0.000432344979553066,0.000423521612623412,TRUE
"post_stage4a_blockaware_v1","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","active_minus_pre14","lmerTest_lmer_REML_random_slope",1684,42,0.0783796861415333,0.0792432793540891,-0.0769342874093278,0.233693659692394,0.322613238914245,"completed",0.0792432793540891,46.521431981344,-0.0810805303921152,0.237839902675182,0.327729981884552,"completed","",0.0834561470764379,55.3293668497423,-0.0888477944818393,0.245607166764906,0.351724431088246,"completed","",0.570476889610291,TRUE,FALSE,FALSE,"",0.00510365225636633,"completed",1.1512758731842,0.00237584114074707,11.7132458686829,"blockaware_random_slope__fixed_49_species__conditional_positive_numeric_count","kenward_roger",0.0834561470764379,55.3293668497423,-0.0888477944818393,0.245607166764906,0.351724431088246,"stronger: Kenward-Roger adjusted standard error and denominator df",1.08153322389891,0.914984828716447,1.27839727795056,"positive",0.615517754404431,0.603205498343601,0.593656076053103,0.57783299393069,FALSE
"post_stage4a_blockaware_v1","atx_136b0e66254b","Common Murre","checklist_reporting","active_minus_pre14","lme4_glmer_nAGQ0_random_slope",217200,,,,,,,"not_attempted",,,,,,"not_attempted","",,,,,,"not_attempted","",,FALSE,,,"Error : Downdated VtV is not positive definite ",,"failed_numerical_fit_no_fallback",164.259631872177,,,"blockaware_random_slope__fixed_49_species__checklist_reporting","none",,,,,,"weaker: prespecified Wald on the random-slope binomial fit",,,,,1,1,1,,FALSE
"post_stage4a_blockaware_v1","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","active_minus_pre14","lmerTest_lmer_REML_random_slope",2023,41,-0.0559992682367497,0.121963049225032,-0.295042452162498,0.183043915688999,0.64612684070204,"completed",0.121963049225032,136.428560116487,-0.297181809831362,0.185183273357863,0.64685756034994,"completed","",0.127944970392661,116.750939501277,-0.309393225696409,0.19739468922291,0.662425120641174,"completed","",0.823276363313198,TRUE,TRUE,FALSE,"boundary (singular) fit: see help('isSingular')",0.00313342297886265,"completed_with_singular_warning",1.98418784141541,0.00385189056396484,18.6318550109863,"blockaware_random_slope__fixed_49_species__conditional_positive_numeric_count","kenward_roger",0.127944970392661,116.750939501277,-0.309393225696409,0.19739468922291,0.662425120641174,"stronger: Kenward-Roger adjusted standard error and denominator df",0.945539827801441,0.733892128036123,1.21822476601735,"negative",0.854179760826776,0.83410580150387,0.833163557747368,0.801883040776157,FALSE
